user_id,leaning,label,no_videos,leaning_avg,user_name,authorstats_following,authorstats_followers,authorstats_heart,authorstats_videos,authorstats_diggs,no_of_hashtags,no_of_unique_hashtags
6644238389708275717,0.5,pro,1,0.5,empty.windex.bottle,31.0,54.0,8441,10.0,1670.0,10,10
6644255444205355014,0.0,neutral,1,0.0,kanaar.saeed,16.0,223.0,18800,2.0,184.0,9,9
6644262990136098821,3.0,pro,2,1.5,patriziomorellato_,94.0,827900.0,34700000,735.0,2707.0,6,3
6644267583481921541,1.5,pro,1,1.5,boobiebird,306.0,77500.0,2500000,562.0,11000.0,7,7
6644295660056363014,0.0,neutral,1,0.0,addiandcinder,76.0,2.0,135,3.0,1310.0,1,1
6644317304962187270,-1.0,con,2,-0.5,officerbiscuit,63.0,73000.0,835700,100.0,481.0,10,7
6644324103027228677,0.5,pro,1,0.5,nick_norcia,348.0,205300.0,3100000,85.0,2977.0,5,5
6644330745437372421,0.0,neutral,1,0.0,gustavocado_comedy,131.0,4.0,194,1.0,3660.0,1,1
6644334858067050501,0.0,neutral,1,0.0,shenequamiller1,121.0,41.0,2298,11.0,1450.0,5,5
6644343083521048582,0.0,neutral,1,0.0,wesleymichael98,1000.0,767.0,78400,89.0,760.0,3,3
6644346098944196613,0.0,neutral,1,0.0,amandakayjordan,51.0,118.0,2477,,290.0,9,9
6644348251812462597,0.0,neutral,1,0.0,darkestrealm,54.0,2740.0,122800,7.0,313.0,8,8
6644362707313115142,0.0,neutral,1,0.0,_femboy_and_cumcum_,2794.0,4062.0,105600,79.0,69300.0,5,5
6644364538207600646,10.0,pro,4,2.5,sammyhager2020,3400.0,51200.0,2100000,374.0,22500.0,49,22
6644371518329700357,0.0,neutral,2,0.0,starkrafingmad,33.0,284.0,48500,43.0,3410.0,6,5
6644375598889123845,1.0,pro,1,1.0,rachelhei,40.0,77.0,117700,1.0,1660.0,2,2
6644388393676947461,0.0,neutral,1,0.0,giovannimack7,94.0,1360.0,130900,23.0,971.0,8,8
6644403267042607109,-0.5,con,1,-0.5,eetussu,57.0,454.0,11000,8.0,53.0,5,5
6644426922645438469,5.0,pro,3,1.6666666666666667,thesataniczebra,146.0,219.0,30200,84.0,7890.0,23,20
6644429480578924550,0.0,neutral,1,0.0,lucinda_dawn_betts,49.0,35.0,2655,8.0,2440.0,4,4
6644468408606720005,0.0,neutral,1,0.0,yonatan_ye_dengel_lej,,5800.0,256000,10.0,45.0,1,1
