user_id,no_of_videos,no_of_hashtags,no_of_unique_hashtags
6853187158053569541,1,1,1
6831233668227220486,1,1,1
131982893345796096,2,2,1
6674578108358525957,1,1,1
6864708768337265669,1,1,1
6754403096958338053,1,1,1
6620864394215768069,1,1,1
6843161916271526917,1,1,1
6853956863722079238,1,1,1
6861729450771121157,1,1,1
6843525806226310149,1,1,1
6781549861382013957,1,1,1
6587098983906525190,1,1,1
6846928431251866629,1,2,2
6844012031675663366,1,1,1
6806472209089479681,1,11,11
6807272590103036934,1,1,1
6845440769353368581,2,2,1
6856451241158558725,2,2,1
6855035130625426438,1,1,1
6707723446858875909,1,4,4
6835072402503222278,1,1,1
6821142441111487493,1,3,3
6796108619169006598,1,1,1
6827166836031915014,1,1,1
6808126231771563014,1,1,1
6583836320677068806,1,1,1
6880649941334754310,1,1,1
6791279041476461573,1,1,1
6840577465552602117,1,1,1
6813502143493555205,1,1,1
6805498567491503109,1,1,1
6811299624612561926,1,2,2
6611753221663752197,1,1,1
6833982514080924677,1,1,1
171204525985398784,1,1,1
6817138744215700486,1,1,1
6853087838318576646,1,1,1
6881553941562622982,1,1,1
6768172930234270726,1,1,1
6571434408842215430,1,1,1
6813792160672973830,1,2,2
6666037354643996677,3,4,3
6600017661441507333,1,1,1
6863979246717551622,2,7,5
6867198067075122181,1,1,1
6796394284885246982,1,1,1
6866521487324251141,1,1,1
6707959037734421510,1,5,5
6803727081576170502,1,1,1
6869872758328460294,1,1,1
6839005844148519941,1,1,1
6573174712036442117,1,1,1
6872232278749266949,1,1,1
6668489617920360454,1,1,1
6852821178743899142,1,4,4
6650125036344688645,1,2,2
6714147702009857029,1,1,1
6622539102439817222,1,1,1
6737033668373529605,1,7,7
6650147617710014469,2,10,8
6737474605559170054,1,1,1
6806107976413135877,1,1,1
6853626041882543110,1,1,1
6872903637581071365,1,1,1
6490649167638037513,1,1,1
197530488876576768,1,1,1
6818348653531907077,1,1,1
6580080982655795205,1,1,1
6729678519435428869,2,5,4
6672541633106215941,1,1,1
6539205219987756032,1,1,1
6855148579633071109,1,3,3
6844131872436929542,1,1,1
6857279186149049350,1,1,1
6622703098841022470,1,1,1
6791136566561686534,1,1,1
6751448473151112198,1,1,1
6870574659214410758,1,1,1
6855823851533288454,1,1,1
6797970927118648326,1,3,3
6858286064584655878,1,1,1
6874500089542771718,1,1,1
6765540829869949958,1,1,1
6584957410787704837,1,3,3
6811903871763907589,1,1,1
6840623029752464389,1,1,1
6653993552043081733,9,38,23
6564410276191207429,1,1,1
6545196200130253839,1,1,1
6849301890741453830,1,1,1
6862300097687045125,1,1,1
