video_id,stats_likes,stats_shares,stats_comments,stats_plays,video_length,nr_hashtags,nr_tags,leaning_new,label_new
6849164986644712709,36.0,,6.0,764.0,1.0,1,1,0.0,neutral
6849047645709749510,36.0,,5.0,252.0,1.0,4,1,0.0,neutral
6863115386427034885,36.0,,8.0,426.0,1.0,13,1,0.0,neutral
6858471961333402885,35.0,,16.0,1010.0,1.0,6,1,-0.5,con
6858692050385177861,35.0,1.0,5.0,153.0,1.0,7,1,-0.5,con
6838976983326657797,35.0,,12.0,373.0,1.0,2,1,-0.5,con
6840284136230456581,35.0,9.0,1.0,153.0,1.0,1,1,0.0,neutral
6840896600689102086,35.0,,1.0,131.0,1.0,2,1,0.0,neutral
6865018908634598662,34.0,,2.0,133.0,1.0,1,1,0.0,neutral
6859915326147120389,33.0,,4.0,306.0,1.0,3,1,0.0,neutral
6860837047586868486,33.0,,,290.0,1.0,1,1,0.0,neutral
6856763384151411974,33.0,,2.0,208.0,1.0,5,1,-0.5,con
6855325004788239621,33.0,,4.0,252.0,1.0,6,1,-1.0,con
6844466087757614341,33.0,,4.0,258.0,1.0,5,1,-0.5,con
6842701519394049285,33.0,,8.0,233.0,1.0,6,5,-0.5,con
6855850716796308741,32.0,,1.0,112.0,1.0,3,1,-1.0,con
6856110029821578502,32.0,,,134.0,1.0,1,1,0.0,neutral
6852441442137246982,32.0,,2.0,131.0,1.0,1,1,0.0,neutral
6841162398708075782,32.0,,6.0,148.0,1.0,11,1,0.0,neutral
6842814177807977733,32.0,1.0,8.0,216.0,1.0,9,1,0.0,neutral
6857355946386017542,31.0,,1.0,168.0,1.0,2,1,0.0,neutral
6857057045284195589,31.0,,4.0,229.0,1.0,6,1,-1.0,con
6890611415422487813,30.0,,2.0,119.0,1.0,1,1,0.0,neutral
6859193609359592710,30.0,,2.0,134.0,1.0,1,1,0.0,neutral
6862350300171308294,30.0,,4.0,320.0,1.0,1,1,0.0,neutral
6840253811571854597,30.0,,6.0,224.0,1.0,8,1,-0.5,con
6858598903101541637,30.0,,2.0,217.0,1.0,1,1,0.0,neutral
6860453696602410246,29.0,,43.0,1270.0,1.0,4,1,0.0,neutral
6852638686320889093,29.0,,2.0,131.0,1.0,7,1,-1.0,con
6859459631392247046,29.0,,6.0,244.0,1.0,1,1,0.0,neutral
6859473222153407750,28.0,,6.0,258.0,1.0,1,1,0.0,neutral
6862038058313796869,28.0,,,317.0,1.0,2,1,-0.5,con
